shelter,address,city,county,state,zip,longitude,latitude,phone,accepting,notes,source,private_notes,allow_pets,pets,unofficial,accessibility,active
Antioch Baptist Church,"3315 Dixie Hwy, , LOUISVILLE, KY  40216",LOUISVILLE,JEFFERSON,KY,40216,-85.8009503,38.2025597,"",no,General Notes: NSSResource lat/long changes 9/12,SHAKEN_FURY_2019_BATCH_1_ID:74747,"Evacuation Capacity: 110

Longterm Capacity: 55",false,No,false,"",true
Hodgenville Elementary School,"33 Eagle Lane, , HODGENVILLE, KY  42748",HODGENVILLE,LARUE,KY,42748,-85.727462,37.552318,"",no,General Notes: Mapped 3/3/14 MAS NSS.,SHAKEN_FURY_2019_BATCH_1_ID:74803,"Evacuation Capacity: 125

Longterm Capacity: 62",false,Unknown,false,"",true
LaRue County Middle School,"911 South Lincoln Boulevard, , HODGENVILLE, KY  42748",HODGENVILLE,LARUE,KY,42748,-85.7327891,37.5558147,"",no,"",SHAKEN_FURY_2019_BATCH_1_ID:74804,"Evacuation Capacity: 150

Longterm Capacity: 75",false,Unknown,false,"",true
The Gathering Place,"1817 N. Elm St, , HENDERSON, KY  42420",HENDERSON,HENDERSON,KY,42420,-87.57758,37.860514,"",no,General Notes: Senior Citizens Center for Henderson KY. Remapped 2/24/18 MAS NSS.,SHAKEN_FURY_2019_BATCH_1_ID:74894,"Evacuation Capacity: 75

Longterm Capacity: 50",false,Unknown,false,"",true
Blue Lick Airport,"1432 Hillview Boulevard, , LOUISVILLE, KY  40229",LOUISVILLE,BULLITT,KY,40229,-85.6908615,38.0791925,5029575159,no,"",SHAKEN_FURY_2019_BATCH_1_ID:74953,"Evacuation Capacity: 120

Longterm Capacity: 60",false,No,false,"",true
Pleasant Grove Elementary,"6415 Highway 44 East, , MOUNT WASHINGTON, KY  40047",MOUNT WASHINGTON,BULLITT,KY,40047,-85.6120019,38.0255009,5025383129,no,"",SHAKEN_FURY_2019_BATCH_1_ID:75083,"Evacuation Capacity: 196

Longterm Capacity: 98",false,No,false,"",true
Dry Ridge Elementary School,"275 School Road, , DRY RIDGE, KY  41035",DRY RIDGE,GRANT,KY,41035,-84.774481,38.6385445,8598243332,no,"",SHAKEN_FURY_2019_BATCH_1_ID:75347,"Evacuation Capacity: 297

Longterm Capacity: 148",false,No,false,"",true
Woodburn Community Center,"160 Main Street, , WOODBURN, KY  42170",WOODBURN,WARREN,KY,42170,-86.5287628,36.8415269,"",no,"Directions to Facility: From BG proceed south on Hwy 31W to KY 240. Turn left on Hwy 240, church is 1.2 miles, behind Church of Christ.",SHAKEN_FURY_2019_BATCH_1_ID:75667,"Evacuation Capacity: 0

Longterm Capacity: 42",false,No,false,"",true
Bullitt Lick Middle School,"555 West Blue Lick Road, , SHEPHERDSVILLE, KY  40165",SHEPHERDSVILLE,BULLITT,KY,40165,-85.7205823,37.9980304,5025436806,no,"",SHAKEN_FURY_2019_BATCH_1_ID:75825,"Evacuation Capacity: 285

Longterm Capacity: 142",false,Unknown,false,"",true
Williamstown Jr/Sr School,"300 Helton Street, , WILLIAMSTOWN, KY  41097",WILLIAMSTOWN,GRANT,KY,41097,-84.567908,38.628866,8598247144,no,"",SHAKEN_FURY_2019_BATCH_1_ID:75876,"Evacuation Capacity: 450

Longterm Capacity: 225",false,Unknown,false,"",true
Williamstown Elementary School,"300 Helton Street, , WILLIAMSTOWN, KY  41097",WILLIAMSTOWN,GRANT,KY,41097,-84.567908,38.628866,8598247144,no,"",SHAKEN_FURY_2019_BATCH_1_ID:75877,"Evacuation Capacity: 250

Longterm Capacity: 125",false,Unknown,false,"",true
St. Matthews Community Center,"310 Ten Pin Lane, , LOUISVILLE, KY  40207",LOUISVILLE,JEFFERSON,KY,40207,-85.6226164,38.2531839,5028976371,no,"",SHAKEN_FURY_2019_BATCH_1_ID:75960,"Evacuation Capacity: 508

Longterm Capacity: 254",false,No,false,"",true
Lagrange Baptist Church,"1139 Commerce Parkway, , LA GRANGE, KY  40031",LA GRANGE,OLDHAM,KY,40031,-85.5617,38.3255,5022229306,no,"",SHAKEN_FURY_2019_BATCH_1_ID:75976,"Evacuation Capacity: 342

Longterm Capacity: 171",false,No,false,"",true
Tri County Community Action Agenc Inc.,"1015 Dispatchers Way, , LA GRANGE, KY  40031",LA GRANGE,OLDHAM,KY,40031,-85.74,38.24,5022221349,no,"Directions to Facility: Back patio with a separate ventilation system.

General Notes: Is an outdoor space to relieve pets.",SHAKEN_FURY_2019_BATCH_1_ID:75977,"Evacuation Capacity: 250

Longterm Capacity: 125

Restrictions: Offices are off limits",true,Yes,false,"",true
Cathedral Of The Assumption,"433 South 5th Street, , LOUISVILLE, KY  40202",LOUISVILLE,JEFFERSON,KY,40202,-85.7585188,38.2518656,5025822971,no,"",SHAKEN_FURY_2019_BATCH_1_ID:76069,"Evacuation Capacity: 265

Longterm Capacity: 132",false,No,false,"",true
Boy's And Girl's Club Of Franklin,"103 South Court Street, , FRANKLIN, KY  42134",FRANKLIN,SIMPSON,KY,42134,-86.57661,36.72162,"",no,"",SHAKEN_FURY_2019_BATCH_1_ID:76277,"Evacuation Capacity: 440

Longterm Capacity: 220",false,No,false,"",true
Joe Harrison Carter Elementary School,"388 Edmonton Road, , TOMPKINSVILLE, KY  42167",TOMPKINSVILLE,MONROE,KY,42167,-85.6858,36.7238,"",no,"",SHAKEN_FURY_2019_BATCH_1_ID:76324,"Evacuation Capacity: 0

Longterm Capacity: 150

Restrictions: Available when school is NOT in session",false,No,false,"",true
Gamaliel Elementary School,"320 Main Street, , GAMALIEL, KY  42140",GAMALIEL,MONROE,KY,42140,-85.79547,36.63991,"",no,"",SHAKEN_FURY_2019_BATCH_1_ID:76325,"Evacuation Capacity: 0

Longterm Capacity: 150

Restrictions: Only available when school is NOT in session",false,No,false,"",true
Monroe County Area Technology Center,"600 Old Mulkey Road, , TOMPKINSVILLE, KY  42167",TOMPKINSVILLE,MONROE,KY,42167,-85.7002,36.6941,"",no,"",SHAKEN_FURY_2019_BATCH_1_ID:76326,"Evacuation Capacity: 0

Longterm Capacity: 150",false,No,false,"",true
Monroe County Middle School,"600 South Main Street, , TOMPKINSVILLE, KY  42167",TOMPKINSVILLE,MONROE,KY,42167,-85.6973,36.6976,"",no,"",SHAKEN_FURY_2019_BATCH_1_ID:76327,"Evacuation Capacity: 0

Longterm Capacity: 150

Restrictions: Only available when school is NOT in session.",false,No,false,"",true
Solidarity Hall UAW Local 2164,"712 Plum Springs Loop, , BOWLING GREEN, KY  42101",BOWLING GREEN,WARREN,KY,42101,-86.381,37.0139,2077822164,no,Directions to Facility: From ARC - LEFT on Center St - RIGHT on 6th - 1 blk to 31W and turn RIGHT. 31W to Plum Springs Loop on LEFT at Convenient Store. 712 is on RIGHT,SHAKEN_FURY_2019_BATCH_1_ID:76364,"Evacuation Capacity: 304

Longterm Capacity: 152",false,No,false,"",true
Middleton Baptist Church,"9398 Middleton Circle, , FRANKLIN, KY  42134",FRANKLIN,SIMPSON,KY,42134,-86.6772,36.7123,"",no,"",SHAKEN_FURY_2019_BATCH_1_ID:76365,"Evacuation Capacity: 0

Longterm Capacity: 50",false,No,false,"",true
Victory Hill Ministries,"9848 Bowling Green Road, Hwy 231, SCOTTSVILLE, KY  42164",SCOTTSVILLE,ALLEN,KY,42164,-86.31635,36.83135,"",no,"",SHAKEN_FURY_2019_BATCH_1_ID:76368,"Evacuation Capacity: 0

Longterm Capacity: 160",false,No,false,"",true
Bowling Green First Baptist Church,"621 East 12th Avenue, , BOWLING GREEN, KY  42101",BOWLING GREEN,WARREN,KY,42101,-86.4434059,36.9887554,"",no,"Directions to Facility: From Hwy 31W, turn West on 12th Ave. Continue on 12th past the curve, church is one block on left.

General Notes: Use Restricted to Rec Center",SHAKEN_FURY_2019_BATCH_1_ID:76369,"Evacuation Capacity: 500

Longterm Capacity: 250",false,Unknown,false,"",true
Walnut Hills Elementary School,"2834 US HWY 127, , LIBERTY, KY  42539",LIBERTY,CASEY,KY,42539,-84.9348692,37.3134313,6067870045,no,"",SHAKEN_FURY_2019_BATCH_1_ID:76370,"Evacuation Capacity: 50

Longterm Capacity: 25",false,Unknown,false,"",true
Kummer/Little Recreation Center,"333 College Street, , BOWLING GREEN, KY  42103",BOWLING GREEN,WARREN,KY,42103,-86.4343055,36.9986449,"",no,"Directions to Facility: From the chapter turn right. Turn right at 4th St. Center is on left.

General Notes: 5-11-11 Spoke with Jennifer and requested an updated Use Agreement - she will give Ernie the request to email updated Use Agreement",SHAKEN_FURY_2019_BATCH_1_ID:76384,"Evacuation Capacity: 600

Longterm Capacity: 300

Restrictions: NOT available December - March

Additional Notes: Downstairs - Feeding Area 38 x 20; Dormintory 15,000 sf",false,No,false,"",true
Phil Moore Park,"7101 Scottsville Road, , BOWLING GREEN, KY  42104",BOWLING GREEN,WARREN,KY,42104,-86.4269599,36.954673,"",no,"Directions to Facility: From Hwy 31W, travel east on Scottsville Road (Hwy 231) to Phil Moore Park. Park is on right.

General Notes: Remapped 11/15/12 MAS NSS.",SHAKEN_FURY_2019_BATCH_1_ID:76446,"Evacuation Capacity: 584

Longterm Capacity: 300",false,No,false,"",true
Alvaton Community Center,"6400 Old Scottsville Road, , ALVATON, KY  42122",ALVATON,WARREN,KY,42122,-86.3532259,36.87614,"",no,Directions to Facility: Travel east on Hwy 231 Scottsville Rd to Old Scottsville Rd (at Alvaton Garage). Turn left on Old Scottsville Rd. Community Center is 1/2 mile on right across from Alvaton Fire Station.,SHAKEN_FURY_2019_BATCH_1_ID:76447,"Evacuation Capacity: 180

Longterm Capacity: 90",false,No,false,"",true
Franklin-Simpson Indoor Practice Field,"400 South College Street, , FRANKLIN, KY  42134",FRANKLIN,SIMPSON,KY,42134,-86.57787,36.71554,"",no,"",SHAKEN_FURY_2019_BATCH_1_ID:76602,"Evacuation Capacity: 500

Longterm Capacity: 250",false,No,false,"",true
State Street Methodist Church,"1101 State Street, , BOWLING GREEN, KY  42101",BOWLING GREEN,WARREN,KY,42101,-86.4433,36.9911,"",no,"Directions to Facility: From the intersection of Hwy 231(Scottsville Rd) & Hwy 31-W (Nashville Rd) turn NW on Broadway which becomes 12th St. Continueon State St. Turn right, church is on left after one block.",SHAKEN_FURY_2019_BATCH_1_ID:76604,"Evacuation Capacity: 0

Longterm Capacity: 100",false,No,false,"",true
Bowling Green First Christian Church,"1106 State Street, , BOWLING GREEN, KY  42101",BOWLING GREEN,WARREN,KY,42101,-86.4434461,36.9909801,"",no,"Directions to Facility: From Hwy 231 (Scottsville Rd) and 31-W (Nashville Rd) proceed NW on Broadway, which becomes 12th Ave. At the end of 12th turn right. The church is one block down on right.

General Notes: The nursery has 3 child sized rest rooms, 4 child beds, a microwave, refrigertor and 2 sinks.",SHAKEN_FURY_2019_BATCH_1_ID:76609,"Evacuation Capacity: 0

Longterm Capacity: 100",false,No,false,"",true
Logan County High School,"2200 Bowling Green Road, , RUSSELLVILLE, KY  42276",RUSSELLVILLE,LOGAN,KY,42276,-86.84753,36.84462,"",no,"Directions to Facility: LEFT on Center St, RIGHT on 6th St, LEFT on Kentucky St, RIGHT on Russellville RD (US-68). RIGHT at 1st traffic light as you approach Russellville City Limits",SHAKEN_FURY_2019_BATCH_1_ID:76616,"Evacuation Capacity: 750

Longterm Capacity: 375

Restrictions: Only available for use when school is NOT in sessioin.",false,No,false,"",true
Grant County Middle School,"305 School Rd, , DRY RIDGE, KY  41035",DRY RIDGE,GRANT,KY,41035,-84.7740835,38.6381612,8598243323,no,"",SHAKEN_FURY_2019_BATCH_1_ID:76632,"Evacuation Capacity: 375

Longterm Capacity: 187",false,Unknown,false,"",true
Grant County High School,"715 Warsaw Rd, , DRY RIDGE, KY  41035",DRY RIDGE,GRANT,KY,41035,-84.6213125,38.686564,8598243323,no,"",SHAKEN_FURY_2019_BATCH_1_ID:76633,"Evacuation Capacity: 625

Longterm Capacity: 312",false,Unknown,false,"",true
Sherman Elementary School,"3987 Dixie Highway, , DRY RIDGE, KY  41035",DRY RIDGE,GRANT,KY,41035,-84.587233,38.7053304,8598243323,no,"",SHAKEN_FURY_2019_BATCH_1_ID:76634,"Evacuation Capacity: 504

Longterm Capacity: 252",false,Unknown,false,"",true
Mason Corinth Elementary School,"225 Heekin Rd, , WILLIAMSTOWN, KY  41097",WILLIAMSTOWN,GRANT,KY,41097,-84.5784244,38.5955182,8598243323,no,"",SHAKEN_FURY_2019_BATCH_1_ID:76635,"Evacuation Capacity: 352

Longterm Capacity: 176",false,Unknown,false,"",true
Crittenden Mt. Zion Elementary,"270 Crittenden-Mt. Zion Rd., , DRY RIDGE, KY  41035",DRY RIDGE,GRANT,KY,41035,-84.6066563,38.763748,8594282171,no,"",SHAKEN_FURY_2019_BATCH_1_ID:76637,"Evacuation Capacity: 212

Longterm Capacity: 106",false,Unknown,false,"",true
Franklin First Baptist Church,"303 East Cedar Street, , FRANKLIN, KY  42134",FRANKLIN,SIMPSON,KY,42134,-86.5745033,36.7219212,"",no,General Notes: NSSResource lat/long changes 9/12,SHAKEN_FURY_2019_BATCH_1_ID:76658,"Evacuation Capacity: 250

Longterm Capacity: 125",false,No,false,"",true
Crossroads Church,"145 Crossroads Way, , RUSSELLVILLE, KY  42276",RUSSELLVILLE,LOGAN,KY,42276,-86.8854,36.8514,"",no,"Directions to Facility: US68/80 to Russellville; Turn RIGHT onto Business Loop (4.5 miles); Turn RIGHT onto Crosswoods Way

General Notes: 4-27-11 Emailed Form 6564 for update information",SHAKEN_FURY_2019_BATCH_1_ID:76659,"Evacuation Capacity: 700

Longterm Capacity: 350",false,Unknown,false,"",true
Scottsville Church Of Christ,"1379 Smiths Grove Road, , SCOTTSVILLE, KY  42164",SCOTTSVILLE,ALLEN,KY,42164,-86.18721,36.76932,"",no,General Notes: 4-21-11 @ 11:47 AM; Spoke with Pastor Covington - no structural changes - he is to send an updated Use Agreement email.,SHAKEN_FURY_2019_BATCH_1_ID:76668,"Evacuation Capacity: 0

Longterm Capacity: 122",false,No,false,"",true
Tompkinsville Elementary School,"420 Elementary School Road, , TOMPKINSVILLE, KY  42167",TOMPKINSVILLE,MONROE,KY,42167,-85.68529,36.70075,"",no,"",SHAKEN_FURY_2019_BATCH_1_ID:76669,"Evacuation Capacity: 0

Longterm Capacity: 170

Restrictions: Only available when school is NOT in session",false,No,false,"",true
Butler County Area Technology Center,"799 Veterans Way, , MORGANTOWN, KY  42261",MORGANTOWN,BUTLER,KY,42261,-86.70722,37.21754,"",no,"Directions to Facility: From Natcher Parkway, Exit 27, turn right proceed to second driveway on right.",SHAKEN_FURY_2019_BATCH_1_ID:76670,"Evacuation Capacity: 200

Longterm Capacity: 100",false,Unknown,false,"",true
Mt. Pleasant Baptist Church,"954 Stacker Street, , LEWISBURG, KY  42256",LEWISBURG,LOGAN,KY,42256,-86.93932,36.98852,"",no,"Directions to Facility: LEFT on Center St, RIGHT on 6th St, LEFT on Kentucky St, RIGHT on Russellville RD (US-68). RIGHT on 68 By-Pass to US431, turn RIGHT. Go 9.3 miles to Lewisburg, RIGHT on Stacker St.

General Notes: Received email 5-2-2011 confirming 1-year renewal of Use Agreement.",SHAKEN_FURY_2019_BATCH_1_ID:76836,"Evacuation Capacity: 200

Longterm Capacity: 100",false,No,false,"",true
Cedar Springs Fire Department,"427 Spencer Road, , SCOTTSVILLE, KY  42164",SCOTTSVILLE,ALLEN,KY,42164,-86.0888339,36.8615976,"",no,"",SHAKEN_FURY_2019_BATCH_1_ID:76963,"Evacuation Capacity: 0

Longterm Capacity: 45",false,No,false,"",true
New Life Baptist Church,"34 Montgomery Road, , AUBURN, KY  42206",AUBURN,LOGAN,KY,42206,-86.7476036,36.833199,"",no,"Directions to Facility: From Bowling Green, go southwest on HWY 68/80 (Russellville Rd), continue to Auburn, Church is past Auburn on the LEFT at Montgomery Rd.

General Notes: 5-4-11 - Spoke with Deborah (Church Office) and she is to send an Updated Use Agreement",SHAKEN_FURY_2019_BATCH_1_ID:77001,"Evacuation Capacity: 220

Longterm Capacity: 110",false,No,false,"",true
Elk Lick Baptist Church,"6904 Green Ridge-Spa Road, , LEWISBURG, KY  42256",LEWISBURG,LOGAN,KY,42256,-87.00224,36.96329,"",no,"Directions to Facility: LEFT on Center St, RIGHT on 6th St, LEFT on Kentucky St, RIGHT on Russellville RD (US-68). RIGHT on 68 By-Pass to US431, turn RIGHT. Go 8.8 miles to Spa Rd, turn LEFT. Go 3 miles, church on LEFT.",SHAKEN_FURY_2019_BATCH_1_ID:77011,"Evacuation Capacity: 61

Longterm Capacity: 30

Restrictions: MAIN USE SIDE BUILDING. OTHER AREAS OF CHURCH WOULD BE ACCESSIBLE IF NECESSARY FOR DMH/DHS",false,Unknown,false,"",true
Phelps Senior Citizen Center,"136 Park Rd., , FREEBURN, KY  41528",FREEBURN,PIKE,KY,41528,-82.1517872,37.5553596,"",no,"",SHAKEN_FURY_2019_BATCH_1_ID:77095,"Evacuation Capacity: 50

Longterm Capacity: 0",false,Unknown,false,"",true
Shelby Valley High School,"125 Douglas Park, , PIKEVILLE, KY  41501",PIKEVILLE,PIKE,KY,41501,-82.5252031,37.4491204,6066390033,no,"",SHAKEN_FURY_2019_BATCH_1_ID:77111,"Evacuation Capacity: 540

Longterm Capacity: 270",false,Unknown,false,"",true
First Presbyterian Church Hazard,"160 Broadway, , HAZARD, KY  41701",HAZARD,PERRY,KY,41701,-83.1947065,37.2496916,"",no,General Notes: Church owns two smaller cottages located next to church that can be utilized for additional sleeping/staff shelter facilities.,SHAKEN_FURY_2019_BATCH_1_ID:77115,"Evacuation Capacity: 105

Longterm Capacity: 52

Restrictions: Restricted areas to be specified when opening the shelter.",false,No,false,"",true
East Ky Exposition Center,"126 Main Street, , PIKEVILLE, KY  41501",PIKEVILLE,PIKE,KY,41501,-82.5172055,37.4779488,"",no,"",SHAKEN_FURY_2019_BATCH_1_ID:77116,"Evacuation Capacity: 50

Longterm Capacity: 50",false,Unknown,false,"",true
Harlan County High School,"4000 US Hwy 119, , BAXTER, KY  40806",BAXTER,HARLAN,KY,40806,-83.3684914,36.854665,"",no,"",SHAKEN_FURY_2019_BATCH_1_ID:77121,"Evacuation Capacity: 25

Longterm Capacity: 25",false,Unknown,false,"",true
Boone Fork Senior Center,"575A Hwy 343, , NEON, KY  41840",NEON,LETCHER,KY,41840,-82.703611,37.1919462,"",no,"",SHAKEN_FURY_2019_BATCH_1_ID:77122,"Evacuation Capacity: 20

Longterm Capacity: 20",false,Unknown,false,"",true
Colson Fire Dept And Community Center,"9106 Hwy 7N, , NEON, KY  41840",NEON,LETCHER,KY,41840,"","","",no,"",SHAKEN_FURY_2019_BATCH_1_ID:77123,"Evacuation Capacity: 20

Longterm Capacity: 20",false,Unknown,false,"",true
Ermine Senior Center,"4998 State Hwy 2034, , ERMINE, KY  41815",ERMINE,LETCHER,KY,41815,-82.8010479,37.1824003,"",no,"",SHAKEN_FURY_2019_BATCH_1_ID:77124,"Evacuation Capacity: 25

Longterm Capacity: 25",false,Unknown,false,"",true
Oven Fork Senior Center,"4213 S US 119, , EOLIA, KY  40826",EOLIA,LETCHER,KY,40826,-82.7957181,37.0645694,"",no,"",SHAKEN_FURY_2019_BATCH_1_ID:77126,"Evacuation Capacity: 20

Longterm Capacity: 20",false,Unknown,false,"",true
Blackey Senior Center,"144 Main St, , EOLIA, KY  40826",EOLIA,LETCHER,KY,40826,-82.8271977,37.1180599,"",no,"",SHAKEN_FURY_2019_BATCH_1_ID:77127,"Evacuation Capacity: 25

Longterm Capacity: 25",false,Unknown,false,"",true
Lookout Fire Department,"5945 Poor Bottom Rd., , ELKHORN CITY, KY  41522",ELKHORN CITY,PIKE,KY,41522,-82.4678068,37.3149395,"",no,"",SHAKEN_FURY_2019_BATCH_1_ID:77129,"Evacuation Capacity: 20

Longterm Capacity: 20",false,Unknown,false,"",true
Warren Association Of Baptists,"6448 Scottsville Road, , BOWLING GREEN, KY  42104",BOWLING GREEN,WARREN,KY,42104,-86.4269599,36.954673,"",no,"Directions to Facility: From Exit 22, I-65 travel SE to 6448 Scottsville Rd. Building is on left.

General Notes: NSSResource lat/long changes 9/12",SHAKEN_FURY_2019_BATCH_1_ID:77269,"Evacuation Capacity: 105

Longterm Capacity: 52",false,Unknown,false,"",true
Centenary United Methodist Church,"429 Main Street, , SHELBYVILLE, KY  40065",SHELBYVILLE,SHELBY,KY,40065,-85.2146629,38.2116787,5026334510,no,Directions to Facility: Turn onto Hwy 53. Turn left onto Washington Street. Buidling is on the left after the post office.,SHAKEN_FURY_2019_BATCH_1_ID:77416,"Evacuation Capacity: 80

Longterm Capacity: 0",false,No,false,"",true
Dripping Springs Baptist Church,"4145 Watermelon Road, , OLMSTEAD, KY  42265",OLMSTEAD,LOGAN,KY,42265,-86.95853,36.78299,"",no,"Directions to Facility: US-68/80 toward Russellville (approx 26 miles from WKU campus); LEFT on KY-3240 - 1.1 miles; US-431 - 1.1 miles;US-79 - 3.4 miles: LEFT on KY-1041- 4.3 miles

General Notes: 4-27-11 spoke with Jeff Noffsinger & he is to email updated use agreement to disaster@sckyredcross.org",SHAKEN_FURY_2019_BATCH_1_ID:77490,"Evacuation Capacity: 200

Longterm Capacity: 100",false,No,false,"",true
Lewisburg City Center,"431 South Main, , LEWISBURG, KY  42256",LEWISBURG,LOGAN,KY,42256,-86.9560076,36.9788849,"",no,"Directions to Facility: LEFT on Center St, RIGHT on 6th St, LEFT on Kentucky St, RIGHT on Russellville RD (US-68). RIGHT on 68 By-Pass to US431, turn RIGHT. Go 8.8 miles to Lewisburg, 431 S Main on RIGHT.

General Notes: 4-28-11 - Updated contact information; Angie is to email and updated Use Agreement. Permanent dividing wall, with windows, has been added to separate building based on HVAC (dual unit) efficiency.",SHAKEN_FURY_2019_BATCH_1_ID:77491,"Evacuation Capacity: 348

Longterm Capacity: 174",false,No,false,"",true
Olmstead Baptist Church,"2075 Olmstead Road, , OLMSTEAD, KY  42265",OLMSTEAD,LOGAN,KY,42265,-87.006058,36.7520788,"",no,"Directions to Facility: From Bowling Green Southwest on US 68/80 to Russellville. LEFT on KY-3240, US-421, US-79 (10.9 miles). LEFT on KY-775 (2.0 miles). Church is on RIGHT.

General Notes: 5-4-11 @ 11:31 AM - Left message for Brother Jim TCB regarding update to facility survey NSSResource lat/long changes 9/12",SHAKEN_FURY_2019_BATCH_1_ID:77492,"Evacuation Capacity: 140

Longterm Capacity: 70",false,No,false,"",true
Church Of The Ascension,"311 Washinton Street, , FRANKFORT, KY  40601",FRANKFORT,FRANKLIN,KY,40601,-84.8785561,38.1995339,"",no,"",SHAKEN_FURY_2019_BATCH_1_ID:77521,"Evacuation Capacity: 150

Longterm Capacity: 75",false,Unknown,false,"",true
Russellville Armory,"190 S. Winter Street, , RUSSELLVILLE, KY  42276",RUSSELLVILLE,LOGAN,KY,42276,-86.887577,36.8412707,"",no,"Directions to Facility: From Bowling Green Southwest on US 68/80 to Russellville. Bear LEFT on US-79 to thru 1st traffic light, then turn RIGHT on South Winter Street. Armory is on RIGHT.

General Notes: 5-4-11 - Jen Siebold is to email an Updated Use Agreement. Also, changed contact information NSSResource lat/long changes 9/12",SHAKEN_FURY_2019_BATCH_1_ID:77537,"Evacuation Capacity: 160

Longterm Capacity: 80",false,No,false,"",true
Berea Baptist Church,"310 Chestnut Street, , BEREA, KY  40403",BEREA,MADISON,KY,40403,-84.2959564,37.5693284,8599869391,no,"",SHAKEN_FURY_2019_BATCH_1_ID:77570,"Evacuation Capacity: 155

Longterm Capacity: 77",false,No,false,"",true
Southern Heights Baptist Church,"1400 Nashville Street, , RUSSELLVILLE, KY  42276",RUSSELLVILLE,LOGAN,KY,42276,-86.89009,36.84064,"",no,"Directions to Facility: LEFT on Center St to 6th Street. RIGHT on 6th, LEFT on Kentucky St. (US 68/80) to Russellville, turning LEFT on HWY 79 (9th Street), LEFT on Nashville St. (US 431). Church is 0.3 miles on RIGHT.

General Notes: 5-4-11 - Phillip Alexander is to email an updated Use Agreemnt.",SHAKEN_FURY_2019_BATCH_1_ID:77579,"Evacuation Capacity: 250

Longterm Capacity: 125",false,No,false,"",true
Midway Christian Church,"123 East Bruen Street, , MIDWAY, KY  40347",MIDWAY,WOODFORD,KY,40347,-84.6836653,38.1490018,8598464102,no,"",SHAKEN_FURY_2019_BATCH_1_ID:77616,"Evacuation Capacity: 108

Longterm Capacity: 54",false,No,false,"",true
Rochester Missionary Baptist Church,"100 Ferry Street, , ROCHESTER, KY  42273",ROCHESTER,BUTLER,KY,42273,-86.8907431,37.2094577,"",no,"Directions to Facility: Narcher Pky to exit 27-Left on Hwy 79 (12.3m) to Hwy 369. Turn right then left on 369 (.5 m) ti ferry st. Turn right,church is on right.

General Notes: NSSResource lat/long changes 9/12",SHAKEN_FURY_2019_BATCH_1_ID:77691,"Evacuation Capacity: 50

Longterm Capacity: 25",false,Unknown,false,"",true
Russellville Christian Church,"505 East Ninth Street, , RUSSELLVILLE, KY  42276",RUSSELLVILLE,LOGAN,KY,42276,-86.8731657,36.843242,"",no,General Notes: 5-4-11 Spoke with Pat Suiter for contact updates NSSResource lat/long changes 9/12,SHAKEN_FURY_2019_BATCH_1_ID:77769,"Evacuation Capacity: 200

Longterm Capacity: 100",false,No,false,"",true
Earlington Elementary School,"229 West Thompson, , EARLINGTON, KY  42410",EARLINGTON,HOPKINS,KY,42410,-87.5112253,37.2682424,"",no,"",SHAKEN_FURY_2019_BATCH_1_ID:77846,"Evacuation Capacity: 396

Longterm Capacity: 0",false,Unknown,false,"",true
Hanson Elementary School,"121 Eastlawn Road, , HANSON, KY  42413",HANSON,HOPKINS,KY,42413,-87.4786943,37.4168073,"",no,"",SHAKEN_FURY_2019_BATCH_1_ID:77850,"Evacuation Capacity: 119

Longterm Capacity: 0",false,Unknown,false,"",true
West Hopkins School,"2695 Rabbit Ridge, , NEBO, KY  42441",NEBO,HOPKINS,KY,42441,-87.7052311,37.306322,"",no,"",SHAKEN_FURY_2019_BATCH_1_ID:77851,"Evacuation Capacity: 172

Longterm Capacity: 0",false,Unknown,false,"",true
Hopkins County Central High School,"6625 Hopkinsville Road, , MADISONVILLE, KY  42431",MADISONVILLE,HOPKINS,KY,42431,-87.4826028,37.2508715,"",no,"",SHAKEN_FURY_2019_BATCH_1_ID:77852,"Evacuation Capacity: 213

Longterm Capacity: 0",false,Unknown,false,"",true
Southside Elementary School,"9220 Hopkinsville Road, , MADISONVILLE, KY  42431",MADISONVILLE,HOPKINS,KY,42431,-87.492533,37.2590512,"",no,"",SHAKEN_FURY_2019_BATCH_1_ID:77854,"Evacuation Capacity: 224

Longterm Capacity: 0",false,Unknown,false,"",true
South Hopkins Middle School,"9140 Hopkinsville Road, , MADISONVILLE, KY  42431",MADISONVILLE,HOPKINS,KY,42431,-87.492533,37.2590512,"",no,"",SHAKEN_FURY_2019_BATCH_1_ID:77855,"Evacuation Capacity: 146

Longterm Capacity: 0",false,Unknown,false,"",true
Scottsville Baptist Church,"301 East Main St, , SCOTTSVILLE, KY  42164",SCOTTSVILLE,ALLEN,KY,42164,-86.1883523,36.7530123,"",no,General Notes: 4/21/11 - Spoke w/ Ann Lane to verify contact information and request updated Use Agreement be emailed to disaster@sckyredcross.org NSSResource lat/long changes 9/12,SHAKEN_FURY_2019_BATCH_1_ID:77945,"Evacuation Capacity: 0

Longterm Capacity: 58",false,No,false,"",true
